r,B
0.1,3.1099827855657997e-07
0.2,3.0723881921008894e-07
0.30000000000000004,3.044488682238405e-07
0.4,3.0289293478295637e-07
0.5,3.020900084832168e-07
0.6,3.0237612997665956e-07
0.7000000000000001,3.0309343978343896e-07
0.8,3.0305898431290094e-07
0.9,3.029495650005626e-07
1.0,3.0352019590890164e-07
1.1,3.044345719285488e-07
1.2000000000000002,3.048650059766385e-07
1.3000000000000003,3.0460801267789753e-07
1.4000000000000001,3.041621936802605e-07
1.5000000000000002,3.0410829811752826e-07
1.6,3.0483431153549685e-07
1.7000000000000002,3.057293033929329e-07
1.8000000000000003,3.0646790018092605e-07
1.9000000000000001,3.066963203918071e-07
2.0,3.060787350437129e-07
2.1,3.060132733483322e-07
2.2,3.070666985037871e-07
2.3000000000000003,3.0892219486453154e-07
2.4000000000000004,3.110228519114469e-07
2.5000000000000004,3.126257567258835e-07
2.6,3.1434610313592497e-07
2.7,3.1705481036885244e-07
2.8000000000000003,3.190415146680127e-07
2.9000000000000004,3.186978767294547e-07
3.0000000000000004,3.170238388192184e-07
3.1,3.164809200480075e-07
3.2,3.1732175024143905e-07
3.3000000000000003,3.1822592342721996e-07
3.4000000000000004,3.185317317550684e-07
3.5000000000000004,3.194004974554983e-07
3.6,3.2172498882455813e-07
3.7,3.2409700850863894e-07
3.8000000000000003,3.2463131673935343e-07
3.9000000000000004,3.242413382429947e-07
4.0,3.247628847965427e-07
4.1,3.2744252334022954e-07
4.2,3.3185339193744357e-07
4.3,3.349994355760722e-07
4.3999999999999995,3.3561580166802333e-07
4.5,3.3492213392449664e-07
4.6,3.349399375469383e-07
4.7,3.354882138058736e-07
4.8,3.36643636471832e-07
4.9,3.379474445802373e-07
5.0,3.397686248718668e-07
